age	weight	height	attr	sex	horm	mearche	hetero	steady	looking	number_sex1	number_sex2	number_sex3	SOI1	SOI2	SOI3	SOI4	SOI5	SOI6	scan1	scan2	scan3	scan4	scan5	scan6	scan7	scan8	scan9	scan10
21	65	169	8	2	1	13	1	1	NA	3	1	2	4	4	4	4	3	2	6	2	3	3	6	6	6	6	3	2
24	83	183	7	1	NA	NA	1	1	NA	3	3	2	4	4	1	4	3	3	4	2	3	3	5	2	3	5	3	5
36	98	163	7	2	2	11	1	1	NA	2	2	1	1	1	5	1	1	2	1	8	8	8	1	1	1	1	8	8
31	73	163	8	2	1	11	2	1	NA	2	1	1	1	1	2	2	2	1	3	6	6	2	5	4	4	4	5	4
19	65	169	7	2	1	13	1	1	NA	1	1	1	1	2	5	3	1	1	6	3	6	2	5	6	6	5	2	1
21	75	170	5	2	1	12	2	1	NA	2	2	2	1	3	2	3	3	3	8	1	1	1	8	1	8	8	1	7
28	67.5	170	8	2	1	13	1	1	NA	2	4	4	5	5	1	2	2	1	5	4	2	3	5	4	5	6	3	5
20	79	191	7	1	NA	NA	1	1	NA	2	1	1	4	3	2	4	2	3	2	2	7	7	2	2	2	4	3	6
30	62	164	6	2	1	14	1	1	NA	2	3	2	4	5	3	3	3	2	7	3	1	1	7	2	6	5	3	5
23	60	161	7	2	1	12	1	1	NA	2	2	3	4	3	2	3	2	2	6	2	1	4	4	4	3	6	3	4
25	55	155	4	2	1	11	1	2	1	1	1	1	3	2	4	3	3	2	6	4	5	4	3	4	4	6	3	6
18	55	160	6	1	NA	NA	1	2	2	2	2	2	3	4	2	5	3	3	4	5	2	2	3	3	2	6	7	5
19	67	179	6	1	NA	NA	1	1	NA	2	3	1	2	3	3	3	2	1	4	3	6	6	7	2	2	6	4	5
19	68	158	6	2	1	14	2	2	2	4	4	4	4	4	1	4	4	4	4	3	3	5	4	2	3	4	6	6
23	69	176	8	2	1	12	1	2	1	3	3	1	3	1	2	2	3	1	7	2	3	3	2	2	6	2	4	6
20	76	198	7	1	NA	NA	1	2	1	3	2	3	4	4	2	3	3	2	4	2	4	5	8	2	1	6	3	5
22	64	168	6	2	1	14	1	2	1	2	1	1	5	2	2	4	2	2	4	2	3	2	4	5	5	5	2	7
19	63	173	6	2	1	14	1	1	NA	2	1	1	5	4	2	3	4	2	3	3	2	2	4	3	3	5	2	5
21	69	173	6	1	NA	NA	1	1	NA	1	1	1	3	2	3	3	3	3	2	3	3	5	6	4	3	6	4	6
23	48	164	8	2	1	17	1	1	NA	2	1	2	5	2	2	3	3	1	3	5	4	4	3	3	3	4	4	5
19	72	169	3	2	1	11	1	2	1	1	1	1	2	1	3	2	2	2	2	3	1	4	4	3	4	7	2	5
20	65	176	7	1	NA	NA	1	1	NA	3	3	2	5	4	1	4	2	2	3	3	3	3	2	2	7	6	7	2
19	74	171	7	2	2	14	1	2	1	1	1	1	3	2	4	4	1	2	4	5	4	6	6	5	4	4	3	6
21	60	172	7	2	2	12	3	2	2	1	4	4	5	5	1	5	3	4	5	3	3	3	2	6	5	6	3	3
21	60	163	6	2	1	12	1	1	NA	2	5	3	3	2	4	2	2	1	5	4	4	4	4	5	5	4	4	1
